review,sentiment
挺好玩的，五星好评吧，刚才首充了，本来以为萧遥很强，结果只是五秒真男人……然后说说对游戏的建议吧，英雄的cd时间真的接不上今，符文也不好弄，加速跑必须要按两下，我经常残血跑的时候按两下中间间隔的时候结果英雄突然停下来，然后就死了……最后一定，符文好难弄，符文好难弄，符文好难弄！！！差不多就这些吧。---补充一下，开箱子真的好迷啊，我大概有十来个英雄了吧，除了初始英雄，开五个箱子必出的刺客，首充送的逍遥，其他的全是远程啊，我想玩近战的说呢。。。。,1
原版大航海OL是探险、交易、战斗三系并重的，这个山寨版就简化成独重战斗，交易辅助，探险点缀了，个人不是很喜欢…希望以后有资料片能加入探险和交易的职业。另外，最近163各种借（chao）鉴（xi）啊，从荒野行动到猎魂觉醒到这个大航海，是想走企鹅的老路吗？可是年代已经不一样了，听说荒野已经被告了，希望这个能活好，走出自己的路来,0
怎么说呢……评价这个游戏的时候其实心情挺复杂的。这个复杂来自对于疯兔这个经典IP的回忆，和对游戏“复古”的竖屏三路跑酷模式的厌倦失望。综合而言给6.5分吧游戏本身其实没有什么创新点，跟12年出来的地铁跑酷也差别不大，相比而言也就是多了一些飞行、冲撞等也不算特别新的操作。毕竟三路跑酷已经是一个非常成熟的模式了，要想创新也只能是从场景互动，角色养成等其他方面来入手，但如果一味追求创新又可能导致对跑酷操作复杂化和节奏造成破坏，这又容易伤及根本，所以才用成熟的模式也没啥问题。总体就是稳重有余，创新不足然后画面这点我说实话是不太满意的，可能是为了保证跑酷手感和流畅度吧，总体的画质不算很好，至少给我感觉和几年前的同类动画风跑酷没有太大差别，包括整个ui和地图也都给我一种emmm“复古”的感觉，习惯了当今游戏画质的我在这点上要扣分最后是疯兔这个ip自然是没得说，从06年在雷曼游戏里诞生以来一直都是人气高涨，甚至比雷曼还要受欢迎了。以至于育碧也为其独立做了好多款游戏，还和马里奥等其他游戏有联动作品，动画到目前也有三季，还有漫画，电影，甚至还要开主题乐园😱😱不过这个又疯又傻的兔子实在是太蠢萌了，也难怪玩家观众们那么喜欢它。（和他类似的还有一个监狱兔，不过没有疯兔有意思）游戏毕竟是育碧官方出的，对疯兔这个IP制作的还是很到位的，不同类型的疯兔皮肤也都很有特点，不少也都是游戏和动画里出来过的。然后氪金也还好，可以通过游戏来收集金币去摇洗衣机，出碎片然后兑换皮肤，育碧姥爷还是比较良心的。哦对了，育碧祖传的bug也不会缺席哈哈哈，最频繁的就是有的时候吃不到金币了(||๐_๐)总之，游戏总体就是平庸，喜欢疯兔ip的，你放在手机里偶尔消遣消遣也挺好的。希望育碧能继续出疯兔手游吧，最好更能凸显疯兔疯傻蠢萌特点的~,0
希望多增加点剧情啦，还有和妻子和儿女的互动嘞，感觉儿女就是吃我钱的妖怪，都不和我撒娇啥的，我一辈子都不吃喝拉撒，全投资了🙄,1
各种长篇大论说这个游戏怎么怎么怎么怎么智障垃圾，然后给1星。我真的也是很无语，特别有几个写了几千字的评论，我就像问一句，你脑子没问题么？这个游戏我给四星，扣分完全是因为无教程无指引。这个单机游戏就是刷刷游戏，我肝了就四小时不到。说不知道怎么玩的，不知道怎么这个那个的，这个下面的一排按钮你们不知道点点看？现在手机那么大一个屏幕，你玩一个游戏就看着屏幕发呆？你真的不知道手指上去瞎几把点点？老子信了里滴邪！用这些理由给1星的，你们这干的是人事么？还有几个1星评理由说游戏作者买了水军？所以要来拉低评分？真的有脑子？好了我火发完了，我来写个智障攻略，如下。真的玩这个游戏的人都推荐前期骷髅海，这是WC3一个战术，我不好意思的拿来用一下。这些需要刷一会才有的东西，不直接说，新手看完还是很懵逼的。我要写的是另一种渡过新手期的办法。那些前期卡关的，卡在第三第四关的，不想多动手的，反复刷你打的赢的关，买个法师！资质多少完全看人品，反正我买出来第一个是满的。两个奶一个***盾战，然后弓箭手装上技能，贯射。一路打完第一张图，会出一个无尽，进去刷经验刷装备刷钱！贯射哪里来的？你点篝火回营地，是不是营地我不知道，没有字，我自己这么叫的，里面顶上有个小齿轮。上面可以看到分享送钻，我昨天下载的***只有200钻，今天更新改300了，这个事情作者是不是要赔我100钻？我真想为这个扣你一星！反正接下来刷第一章图的无尽！等级上去之后钱有了，再去买射手和法师，用来当进阶材料。我反正只进阶到两星，三星没上去，都失败了。还有你这个玩家算小队的老大，你是有技能树的。对！就在营地里面，下面一排按钮有一本书。对！就是这本书！点进去把治疗技能点满！再点三级连射，然后就可以升级贯射了！就这么开荒吧！无尽刷刷刷，刷到骷髅王有技能召唤的，你就可以开始骷髅海了，无敌我跟你们讲。骷髅王无敌，你们随意。五个骷髅王站一排，开场就给你召唤一排小弟，上吧，人生已经到达了巅峰。想起来了还有上阵操作没说，这个无指引无说明，扣分也就是扣这个。你先要在你的生物栏，敌营里面按钮第一个，给你要上场的生物参战，然后再去打关卡，这个时候你就看到下面那一大块里面，本来只有最后面有个移除的按钮那一排，前面多出了几个生物。接下来你点一下这个生物，再往地图上你想让它在的地方，再给点一下，这货就上去了。要移除就是你再点一下地图上面站好了的生物，它脚下就有个圈了，你再点一下移除，它就消失了。还有一个自动干仗的问题，就在右下角那个手，点一下变一个电脑的样子。话说我写的开荒方法我根本不去点自动，那个盾战真是垃圾的要死，自动他一上去一会儿就扑街了，真是噎屎呀雷！所以我就是原地站桩搞的，让盾战挨打，两个奶边打边加血，然后射手在后边突突。现在已经开始攒骷髅王了，真的舒服。希望我写的东西能让想尝试这个逗比游戏的玩家茅塞顿开。我也再次集火发地图炮，请那些无脑写1星2星的用点脑子！我还是那句话，你进游戏不这点点那点点，这不是玩游戏，这是看着手机流哈喇子，你们不是***你们不会这样，不要秀智商好吗？最后希望作者改进游戏的指引，你这个游戏的背景故事也是真老套，虽然这都无所谓。,1
tap推送就直接下载开始玩，从一进游戏就有浓重的暗黑3的影子，无论故事背景，画面，地图，角色，技能，连旁白的声音都像极了老凯恩。。。本想着像暗黑也挺好的，毕竟是冲着暗黑模式才来玩的，结果进游戏各种氪金提示，成长套餐，还有类似王者荣耀的战令。。。战令真是个好东西啊，自从王者加入战令之后，刺激战场也有了，拉结尔也有，不知道还有哪些腾讯游戏有这种消费模式，看似花钱不多，还能保持用户粘度，毕竟钱花了不肝一下多挣点奖励岂不是浪费。。。明明是暗黑类的为什么不做成大地图啊，一个任务就那么大一块地方，反复的进出好麻烦还有一个槽点，我玩的法师，1技能闪现，为什么加了符文之后变成地刺了。。。符文是为了增加技能特性增加技能搭配的。。。吧1星给画面，1星给暗黑的情怀,0
人物画风很还原，很可爱，配音什么的都很良心。虽然刚开始看见游戏界面的时候就已经感受到了一股抢钱游戏的氛围，为了小黑我还是义无反顾地入坑了……（不知道是不是官方看见这句了，现tap的预览已撤下游戏界面2333大家记住但凡不敢放游戏界面的游戏都是渣渣！）然而已经从刚开始的“哦哦哦好萌！！好棒！！氪金支持强烈支持！！”到后面发现不每天氪金基本上玩不下去了……比如后山探险才送的那几个饰品位，必须得花钻石才能得到，没有其他途径……每天打打后山都能消耗百来钻。人物升星需要人物碎片，然而来源极其不稳定不说还贵得要死，比如老君这种限时才能得到的，入手本身就要8000-1w多钻……想升个一星就还要一个这么多钻……根本不敢算升满到底要多少……人物提升+1需要五六样材料，材料地图掉落，掉率不尽人意，一百体力也就够十连扫荡两回，还不够攒齐其中一样的。基本就是非得买体力不可。刚开始好像五十钻一百体？买的回数越多就越贵，到后来就是三四百钻才一百体……我的妈哟。买的回数越多就越贵这个规律在这游戏里是普遍存在的……不管是给装备开孔的解封符还是体力还是竞技场次数还是任何你能想到的氪金点……等等等等不可计数。感觉确实不是我这种轻氪党能玩得起的游戏。钻石花起来真是如流水，想少花钱努力攒钻石那就连资源点都被人占掉打不过，外加竞技场被人死去活来地虐，更不提公会战那群土豪肝帝……实在觉得玩不起啊玩不起。一星给人物绘，一星给情怀，一星给配音。给这游戏支持了快一千，我应该对得起木头大大了……,0
很早之前就玩过的游戏，本来想再回味一下，可是却发现现在居然进不去了。更新解压完后显示出错，结果就闪退了。之后点进来也一直闪推，不知道是不是换了手机的缘故。,1
这个重复的过程玩得我稍稍有些烦躁，并且并不想查攻略…之前玩过不知道几代，拿女孩子当女朋友养的感觉对女生开讲还是有点微妙的…这次感觉更像养女儿所以接受度还高了一些，虽然玩法上并没感觉到有什么差别…话说婴儿时期我以为是男孩子来着？结果还是女孩子啊…Q版有点可爱哈哈哈刷不到剧情[烦躁]算了算时间觉得我大概没时间肝出游戏结局所以还是放弃掉了（主要原因大概是角色还不够帅？（花痴闭嘴所以官方准备什么时候出可爱的男孩子呢？,0
商店里可不可以卖点药啊，金币都没地方花，玩的太蛋疼了，动不动缺蓝！,1
30块钱我是真的买了，一来是支持这独特的玩法，二来是想支持公司开发更多有趣的游戏，但是吧一开始玩还是眼前一亮的，想打五星好评，但是玩到第四章每次要的报纸都特别多虽然是可以不用等，但是真的太多了，不断的去重复这四个游戏，剧情因为需要收集报纸而间隔时间有点长导致忘记前面的剧情了，总之就是中期开始就玩的有点累了，耗时太长了，可以的话希望改成30块钱不需要报纸，12块钱可以玩但是需要报纸……,0
怎么说呢，游戏还是不错的，玩了两个月，不太受得了很肝和长期无惊喜的反复刷关卡。其实最大的失望来源于莫妮卡活动5发5连没开到莫妮卡武器吧。有的玩家说可以咸鱼地去玩玩，但是我感觉这样很费时间，而且毫无惊喜，希望官方能想办法解决一下吧。为了真的空出时间不重蹈覆辙，来了一波分解毁号活动，还是很爽的，哈哈，也算是解了抽不到莫妮卡武器的气了。,1
真垃圾，死一次不充钱的话就得等广告，你广告等就等吧，结果广告的视频播放完了但是广告的音乐一直不停，我是冲着你是个音游来的，我玩游戏听不了游戏的音乐了我还玩个鬼？垃圾游戏。,0
先说一下扣一星的原因:今天想登录看看猫的，微信金枪鱼那个服务器，原先正在攒鱼骨点薛定谔的技能，估计今天攒差不多了，登进去一看，好嘛，我直接从头再来了！我以为我登错区了，又重新登了一遍，没错，我之前的猫啊鱼骨啊，成就啊啥都没了。气疯了。emmmm说完扣一星的原因后更生气了，不想写优点了哼╯^╰————————又把一星加上了:加了官方q群联系了官方之后给了相应的补偿，但是游戏进度还是要从头再来了。能接受进度从头再来的就联系官方吧，不能接受的话，emmmm就只能……顺便说一句，在群里窥屏了半天，原来这个问题，只有六区有，真神奇……,1
先给四星，游戏耐玩性很高。解密类小游戏越是简单就越不简单。其实这类游戏一般来说从测试到后面成品也不会有什么大的改变。玩法决定高度。刚开始看到这款游戏以为是和以前玩过的那种拼图游戏一样，结果却发现这是一款类似于魔方的单面游戏。个人猜想。不知道以后会不会出现自定义模式~会不会出现对战模式好了，我要过关了~,1
三分给情怀之前寒假玩了一段时间 卸载之后曾经的生存存档没了 就不怎么想玩了30天换一次头像对于我这种爱换头像的人太不友好了皮肤 材质包 光影什么的 还是能忍精虫上脑的玩家越来越多 晚上玩一堆色情房...更新之后 房间名都没了 进的人也少 挂个十分钟都没人 一瞬间突然想念多玩联机盒子...至少那时候有朋友 大家可以在一起很开心的玩 开房间也保证一直有人气从沉迷到失落 许多事情都变了mc是最让我感动的游戏 也是最让我难过的游戏,0
已通关，我只能说给我一种套板式的量产之作（玩完后你会觉得这种解密我随手就能设计N个）。关卡设计超平淡，线索联系不精密。有些解密甚至毫无逻辑。破解后完全没有一种原来如此的感觉。 纯属用来消磨时间的游戏，看在替我打发了些无聊时间的份上3星。  优点什么的我就不多说了，各位自己感觉吧。,0
评论区基本都讲过了，我也懒得打了。我从开始认真的接触游戏以后基本玩的都是独立解谜类，最开始还有那个耐心，玩不过去就去查攻略，然后在浏览器和游戏之间切来切去，时间长了，就没有最初接触游戏的耐心了，所以很多我会没有通关就卸载。玩了这些游戏，也算是小有心得，游戏是游戏，一个好的游戏，画面，故事都很重要，但是我个人认为游戏最重要的是体验感，游戏难度大可以，但如果玩家从头到尾都毫无头绪，并且连思考的时间都不足，就是游戏的问题了，如果玩家连谜题都无法解开，那么再好的画面和故事又有什么用呢？尤其是这种走文艺向的游戏，重要的不就是故事吗？游戏的音效画面都让玩家逐渐带入，可以看出来这是一个“安静的”故事，却因为玩法的问题让人开始烦躁，于是故事就被放弃了，游戏也失败了。（作为一个手残智弱的女玩家真心希望能有更多的好游戏，照顾一下我们这种女玩家吧！）,0
还有任务疲劳这东西？开荒任务链地图丢了一大堆奖励，你当这是什么啊，之前也没有提示，说有任务疲劳，这任务奖励还能重新领取🐴另，吃相是真的难看，我就不吐槽了，手机烫的要命，我玩着都怕手机烧起来,0
真的我觉得这个游戏就是个挂机游戏，因为你到后期就会发现，升一个人物的价格实在是太贵，而且最坑的是人物的必杀技什么根本不用升，而且到后期氪金是最愚蠢的，他只能让你赢在前期，而你也没有多余的赢得勋章手段，所以只能吃低保，唉，这就是个挂机游戏,1
这款游戏简直堪称完美！光是他的名字就已是霸气侧漏，游戏内容更是几乎碉堡！它巧妙地将两款史诗级的游戏完美地融合在了一起，更是集两家之长，互相弥补了缺点，简直就是《我的饥荒生存世界》啊！而且游戏也十分好玩，先是可以掉到地底下，探索虚空的奥秘，又是可以发现神奇物种：砍不掉的树，打不死的猪，而且主角还拥有着麒麟臂，一手碎石头，简直无敌好玩啊！我强烈推荐这款游戏给你们玩，真的特别好玩！一星？什么一星？我不知道？别跟我提一星。对了，也希望你们在结束愉快的游玩后，也能在评论区发表自己的感受，万分期待你们的评论！,0
最恶心的就是没素质的玩家喷，角色代入，玩神职或者狼人肯定要按剧情走，说不过就开骂，连妈都摆出来了，真是破坏了游戏体验，游戏而已，何必要骂别人妈，还有很多不堪的话，真是够了，除了讨厌的没素质玩家，总体游戏还是比较好玩的。,0
游戏玩了两个多小时，谈谈感受。首先，你要玩这游戏得有个好手机，我小米mix3是带不动，那个画质也不知道为什么就全屏反光。其次，这游戏和介绍一样，真的是极致爆肝，我玩了两个多小时，局局掉传说，后来发现都没啥用，完全就是分解的材料，即使打造武器也只能吃土。吐槽技能，我只有冰法师，冰法师初始二技能，就是一直biubiu的发波的那个，只能用左边的移动***控制方向，为什么不在技能上设置成***，设计的时候没有觉得别扭吗。充值系统，腾讯的充值系统想必大家都懂，可为什么活动一直标红点，就因为150充值钻石买的东西我没买吗，一直有个红点，这让别人很难接受好吗。,0
本评论基于游戏的早期版本，大概v1.2左右，所以早已弃坑的本人不对任何游戏后续修改导致的与本文不符的情况负解释和***之责任，敬请注意。~~~~~~~~~~~~~1.有无蜜雪基本是两个游戏，除非是打像13章关底巴伐伦卡大公这种血厚防高不可击退技能无赖的这种不要脸boss，否则开局卢叔开局开大压缩占线，蜜雪走到最前线开大，两个大之内敌方后排必死，然后就可以无脑打了；这游戏秒后排有多重要呢？首先，游戏里的牧师是除骑士外第二肉（黑人问号脸），其次，游戏关卡是有时间限制的，这就导致了当你面对两狮鹫加两牧师这种恶心组合的时候几乎不可能在规定时间内击先杀掉狮鹫再杀牧师；2.这游戏畜生比人屌，别说狮鹫，光是狼差不多就是等于1.5个人形骑士，高击退高平衡自带回血，恶心得一比，还有更恶心的哥布林牧师，堪称全游戏最强辅助，直接清空你前排的能量条，前排不能开大几乎和废人无异；3.后面各种四打五，为什么敌方能上场五个？强行增加难度4.装备只可替换不可卸下，前期蓝装还好，后期我后不容易把紫装强满了，换金装的时候只能把紫装分解了而不能换给别的角色穿，这是什么吃屎设定？浪费我培养角色时花费的人力物力，强行给游戏续命；强化装备需要的材料太过爆炸，蓝装还算合理，紫装直接变成4倍，强满一件紫装需要打一到两天的材料本，而一个角色有五件装备，最少4个角色，那么也有20件装备需要强化，而一换装备之前所做的努力全部白费，还消耗了大量的体力；5.结合第4点不能换装备，可能打前面应付物攻怪的时候还游刃有余，但是面对法攻怪的时候只能被各种打爆，例如苏拉3和苏拉4的区别；6.ring out看似美好实际用处不大，因为很多敌方前排是自带不可击退buff的，而你不击退前排是无法击退后排的，除非你是巴伐伦卡那两父女；而当我消灭了敌方前排之后，敌方后排又不需要我用到ring out才能解决；7.活动进度的bug从来没修复过！8.公会狩魔几乎组不到人；9.技能点需求各种爆炸，点一级技能要十几二十几个技能点，一天才差不多能点一级，可是我有很多个角色要培养啊！10.活动重复度极高且枯燥乏味；~~~~~~~~~~总结上面几点，意思就是对于这游戏的数值策划、关卡策划、程序员，希望你们做游戏前先吃口屎冷静一下，不要那么自以为是想怎么搞就怎么搞，好吗！,0
吐槽一下这个手动分配是真的强。乱都快打到蜀国国都，策划竟然还说分配平均，这分配是真的平均？？活人一大半全在乱，大部分不玩的全在蜀，你告诉我这分配平均在开玩笑吧，你把不玩的全分在蜀国了真的服，这策划脑子怕不是有洞。,0
美洲豹的黑夜背景变得好突然，希望可以有个渐变的效果……（不过黑夜里就可以把猎物给踩扁，模仿了美洲豹夜晚猎食的习性，还是不错的）个别时候在恐龙世界玩的时候，跳到绿色的河水里会溅出蓝色的水（有点小强迫症）！？嗯……还是不错的游戏♬♩♫♪☻(●´∀｀●）☺♪♫♩♬,1
其实游戏还算是挺好的，但相当一部分评论把网游与单机放在同一个标准体系下对比似乎是有些不妥。网易一以贯之的高水平的音乐与画面在这款游戏里面维持住了，让人意外也不意外的是这款游戏的文案。和古龙的风格十分相似，当然这种短句可能让没有接触过古龙的小说的人会感到有些尴尬，不过我的体验是良好的，包括声优对这些念白的表现我也觉得是在水准的。关于核心玩法，我也觉得十分有趣，的确是要动脑子而不是单纯怼战力的玩法。有人说像石头剪刀布，那不一样，这个你是可以看见对手的出招的。氪金系统没那么刺眼，这和整个 UI 设计还算是比较优秀有关，让人觉得很和谐。需要指出的是那个上面的横幅，谁击败了排行第几的谁我不想知道。当然，这是网游通用的套路。还有指引的语音，这种小姑娘的语音真的有点让人跳戏。我运气不错，第一次自己抽就抽到了橙色的绝学。所以对掉率什么的也没什么特别的体验了。应该是对微氪党比较舒服的一款游戏，因为感觉不是一定要抽到特别好的绝学才能够过关，游戏内的策略也是相当重要的。当然各种养成系统也令我不快，但转念一想，相比而言，其实还是很好的了。,1
